Nama Wilayah,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),
Kudus,482806,520830
Jepara,442618,479131
Demak,471818,511145
Semarang,459151,498952
Temanggung,354012,388369
Kendal,433864,465936
Batang,341252,378858
Pekalongan,441765,480934
Pemalang,429549,467204
Tegal,434638,470728
Brebes,472326,513339
Kota Magelang,575130,602794
Kota Surakarta,538441,600953
Kota Salatiga,518815,565031
Kota Semarang,589598,642456
Kota Pekalongan,513243,565998
Kota Tegal,565826,623617
D I YOGYAKARTA,521673,573022
Kulon Progo,381666,416870
Bantul,445511,488340
Gunung Kidul,350739,382249
Sleman,450763,491652
Kota Yogyakarta,601905,662267
JAWA TIMUR,460909,507286
Pacitan,327758,352606
Ponorogo,362461,395069
Trenggalek,381448,411527
Tulungagung,391888,423875
Blitar,355511,387733
Kediri,353033,385874
Malang,367579,399647
Lumajang,352776,386995
Jember,400961,441171
Banyuwangi,414879,448928
Bondowoso,449760,494000
Situbondo,356133,396587
Probolinggo,475713,514274
Pasuruan,394016,429624
Sidoarjo,523213,571696
Mojokerto,445608,486520
Jombang,448830,488754
Nganjuk,474429,513565
Madiun,405127,437296
Magetan,396696,431203
Ngawi,382301,413947
Bojonegoro,403403,435936
Tuban,421287,454336
Lamongan,446601,481969
Gresik,536544,588316
Bangkalan,458754,503207
Sampang,411661,454716
Pamekasan,392345,431127
Sumenep,427882,471860
Kota Kediri,537326,587723
Kota Blitar,517363,568280
Kota Malang,609612,674660
Kota Probolinggo,575195,628380
Kota Pasuruan,486893,529512
Kota Mojokerto,531804,581006
Kota Madiun,551620,605131
Kota Surabaya,652540,718370
Kota Batu,564010,613985
BANTEN,570368,618721
Pandeglang,416248,455297
Lebak,380681,419066
Tangerang,576122,604362
Serang,385864,425751
Kota Tangerang,695225,746468
Kota Cilegon,572780,632703
Kota Serang,460613,511575
Kota Tangerang Selatan,712717,782543
BALI,485022,529643
Jembrana,458214,496435
Tabanan,522520,562801
Badung,633769,688018
Gianyar,434163,468307
Klungkung,359415,384983
Bangli,401650,436928
Karang Asem,376229,404083
Buleleng,496390,537262
Kota Denpasar,712815,778203
NUSA TENGGARA BARAT,459826,498996
Lombok Barat,503509,546421
Lombok Tengah,480657,520852
Lombok Timur,503525,546404
Sumbawa,404396,441977
Dompu,404413,442451
Bima,395040,429327
Sumbawa Barat,518619,565599
Lombok Utara,514755,556462
Kota Mataram,562661,616536
Kota Bima,432959,471841
NUSA TENGGARA TIMUR,460823,507203
Sumba Barat,395592,422382
Sumba Timur,414832,443502
Kupang,425750,471901
Timor Tengah Selatan,382167,420783
Timor Tengah Utara,440155,485744
Belu,416519,459111
Alor,400858,438013
Lembata,464542,508575
Flores Timur,364117,405486
Sikka,389455,428352
Ende,473403,518939
Ngada,435916,477840
Manggarai,407261,443908
Rote Ndao,372179,410491
Manggarai Barat,405746,444474
Sumba Tengah,341513,362089
Sumba Barat Daya,432375,475879
Nagekeo,422982,472041
Manggarai Timur,411670,446504
Sabu Raijua,480844,526831
Malaka,419292,458399
Kota Kupang,648982,732921
KALIMANTAN BARAT,520660,563288
Sambas,472079,498209
Bengkayang,396037,416148
Landak,414536,451681
Pontianak,414334,444790
Sanggau,395305,416112
Ketapang,499724,539108
Sintang,620670,644010
Kapuas Hulu,508087,543301
Sekadau,370836,392195
Melawi,602209,640608
Kayong Utara,339089,365262
Kubu Raya,457367,492642
Kota Pontianak,622735,677512
Kota Singkawang,552823,588561
KALIMANTAN TENGAH,548816,596184
Kotawaringin Barat,476297,513949
Kotawaringin Timur,510290,547170
Kapuas,424066,485958
Barito Selatan,481352,512492
Barito Utara,563393,590832
Sukamara,619116,648534
Lamandau,588591,634710
Seruyan,571049,608186
Katingan,553082,589596
Pulang Pisau,454933,507058
Gunung Mas,479550,526341
Barito Timur,571786,623053
Murung Raya,550105,607650
Kota Palangka Raya,485800,530223
KALIMANTAN SELATAN,553073,604266
Tanah Laut,575061,620532
Kota Baru,505601,556962
Banjar,514991,561521
Barito Kuala,375707,417110
Tapin,484113,516532
Hulu Sungai Selatan,516857,547855
Hulu Sungai Tengah,444331,475655
Hulu Sungai Utara,526919,561429
Tabalong,573018,615912
Tanah Bumbu,557500,619249
Balangan,476190,508157
Kota Banjarmasin,651383,708617
Kota Banjar Baru,692830,753899
KALIMANTAN TIMUR,728208,790186
Paser,556371,600332
Kutai Barat,635478,679660
Kutai Kartanegara,605321,644570
Kutai Timur,659136,714241
Berau,624948,677819
Penajam Paser Utara,538022,583239
Mahakam Hulu,684644,740683
Kota Balikpapan,680499,743084
Kota Samarinda,784198,850842
Kota Bontang,697326,763661
KALIMANTAN UTARA,772914,817876
Malinau,692605,749933
Bulungan,514320,551925
Tana Tidung,462898,490400
Nunukan,519231,556342
Kota Tarakan,773446,819621
SULAWESI UTARA,427016,463432
Bolaang Mongondow,355639,394032
Minahasa,308634,338802
Kepulauan Sangihe,292549,313945
Kepulauan Talaud,319974,352120
Minahasa Selatan,365119,394739
Minahasa Utara,362428,391699
Bolaang Mongondow Utara,283627,316327
Siau Tagulandang Biaro,339250,370423
Minahasa Tenggara,356988,385636
Bolaang Mongondow Selatan,358465,397381
Bolaang Mongondow Timur,368578,411409
Kota Manado,475683,521012
Kota Bitung,458983,501139
Kota Tomohon,461424,508251
Kota Kotamobagu,385962,426174
SULAWESI TENGAH,530251,568248
Banggai Kepulauan,396904,432673
Banggai,457335,488788
Morowali,507523,553185
Poso,561276,599881
Donggala,395028,421493
Toli-Toli,378317,405556
Buol,410824,438363
Parigi Moutong,495623,531255
Tojo Una-Una,547910,597788
Sigi,409679,445106
Banggai Laut,384686,424660
Morowali Utara,519441,556204
Kota Palu,604280,632261
SULAWESI SELATAN,399755,436025
Kepulauan Selayar,430976,453432
Bulukumba,390040,406882
Bantaeng,394116,419677
Jeneponto,384299,405280
Takalar,399062,428941
Gowa,429222,456719
Sinjai,374226,397562
Maros,450275,510040
